model,f5Level,state,machineT,f5Rmu,x_lat,y_vert,z_long,dY_fromBase,dZ_fromBase,verticalThrustArm,readyDrive_dZ,aftOfRear,aheadOfFront
F5_BASE,LOW,SPREAD,0,12.0000,0.00000000,1.556087,-0.331830,0.000000,0.000000,0.776087,,false,false
F5_BASE,LOW,MID_FOLD,0.15,12.0000,0.00000000,1.526994,-0.327814,0.000000,0.000000,0.746994,,false,false
F5_BASE,LOW,POST_YAW,0.54,12.0000,0.00000000,1.453809,-0.889139,0.000000,0.000000,0.673809,,false,false
F5_BASE,LOW,POST_HAUNCH_CANT,0.7,12.0000,-0.00000000,1.318401,-0.888983,0.000000,0.000000,0.538401,,false,false
F5_BASE,LOW,STRUCTURAL_READY,0.84,12.0000,0.00000000,1.318401,-0.888881,0.000000,0.000000,0.538401,,false,false
F5_BASE,LOW,DRIVE,1,12.0000,0.00000000,1.318401,-1.275396,0.000000,0.000000,0.538401,-0.386515,false,false
F5_BASE,NOMINAL,SPREAD,0,20.0000,0.00000000,1.496600,-0.321283,0.000000,0.000000,0.716600,,false,false
F5_BASE,NOMINAL,MID_FOLD,0.15,20.0000,0.00000000,1.469834,-0.317589,0.000000,0.000000,0.689834,,false,false
F5_BASE,NOMINAL,POST_YAW,0.54,20.0000,0.00000000,1.402504,-0.834007,0.000000,0.000000,0.622504,,false,false
F5_BASE,NOMINAL,POST_HAUNCH_CANT,0.7,20.0000,-0.00000000,1.277929,-0.833865,0.000000,0.000000,0.497929,,false,false
F5_BASE,NOMINAL,STRUCTURAL_READY,0.84,20.0000,0.00000000,1.277929,-0.833771,0.000000,0.000000,0.497929,,false,false
F5_BASE,NOMINAL,DRIVE,1,20.0000,0.00000000,1.277929,-1.189365,0.000000,0.000000,0.497929,-0.355594,false,false
F5_BASE,HIGH,SPREAD,0,30.0000,0.00000000,1.434409,-0.310258,0.000000,0.000000,0.654409,,false,false
F5_BASE,HIGH,MID_FOLD,0.15,30.0000,0.00000000,1.410077,-0.306899,0.000000,0.000000,0.630077,,false,false
F5_BASE,HIGH,POST_YAW,0.54,30.0000,0.00000000,1.348868,-0.776370,0.000000,0.000000,0.568868,,false,false
F5_BASE,HIGH,POST_HAUNCH_CANT,0.7,30.0000,-0.00000000,1.235617,-0.776240,0.000000,0.000000,0.455617,,false,false
F5_BASE,HIGH,STRUCTURAL_READY,0.84,30.0000,0.00000000,1.235617,-0.776155,0.000000,0.000000,0.455617,,false,false
F5_BASE,HIGH,DRIVE,1,30.0000,0.00000000,1.235617,-1.099422,0.000000,0.000000,0.455617,-0.323267,false,false
F5_FORWARD_PROXY,LOW,SPREAD,0,12.0000,0.00000000,1.556739,-0.119873,0.000652,0.211957,0.776739,,false,false
F5_FORWARD_PROXY,LOW,MID_FOLD,0.15,12.0000,0.00000000,1.527646,-0.115858,0.000652,0.211957,0.747646,,false,false
F5_FORWARD_PROXY,LOW,POST_YAW,0.54,12.0000,0.00000000,1.454461,-0.677182,0.000652,0.211957,0.674461,,false,false
F5_FORWARD_PROXY,LOW,POST_HAUNCH_CANT,0.7,12.0000,-0.00000000,1.319053,-0.677027,0.000652,0.211957,0.539053,,false,false
F5_FORWARD_PROXY,LOW,STRUCTURAL_READY,0.84,12.0000,0.00000000,1.319053,-0.676925,0.000652,0.211957,0.539053,,false,false
F5_FORWARD_PROXY,LOW,DRIVE,1,12.0000,0.00000000,1.319053,-1.063440,0.000652,0.211957,0.539053,-0.386515,false,false
F5_FORWARD_PROXY,NOMINAL,SPREAD,0,20.0000,0.00000000,1.497600,0.003717,0.001000,0.325000,0.717600,,false,false
F5_FORWARD_PROXY,NOMINAL,MID_FOLD,0.15,20.0000,0.00000000,1.470834,0.007411,0.001000,0.325000,0.690834,,false,false
F5_FORWARD_PROXY,NOMINAL,POST_YAW,0.54,20.0000,0.00000000,1.403504,-0.509007,0.001000,0.325000,0.623504,,false,false
F5_FORWARD_PROXY,NOMINAL,POST_HAUNCH_CANT,0.7,20.0000,-0.00000000,1.278929,-0.508865,0.001000,0.325000,0.498929,,false,false
F5_FORWARD_PROXY,NOMINAL,STRUCTURAL_READY,0.84,20.0000,0.00000000,1.278929,-0.508771,0.001000,0.325000,0.498929,,false,false
