scenario,state,machineT,totalRmu,x_lat,y_vert,z_long,verticalThrustArm,verticalThrustArmNorm,dZ_fromSpread,dZ_fromReady
ALL_LOW,SPREAD,0,46.0000,0.000000,1.549022,-0.381069,0.769022,0.265638,0.000000,
ALL_LOW,MID_FOLD,0.15,46.0000,0.000000,1.519929,-0.377053,0.739929,0.255588,0.004016,
ALL_LOW,POST_YAW,0.54,46.0000,0.000000,1.446744,-0.938378,0.666744,0.230309,-0.557309,
ALL_LOW,POST_HAUNCH_CANT,0.7,46.0000,-0.000000,1.311336,-0.938222,0.531336,0.183536,-0.557153,
ALL_LOW,STRUCTURAL_READY,0.84,46.0000,0.000000,1.311336,-0.938100,0.531336,0.183536,-0.557031,0.000000
ALL_LOW,DRIVE,1,46.0000,0.000000,1.311336,-1.158005,0.531336,0.183536,-0.776936,-0.219905
NOMINAL,SPREAD,0,100.0000,0.000000,1.496600,-0.321283,0.716600,0.247530,0.000000,
NOMINAL,MID_FOLD,0.15,100.0000,0.000000,1.469834,-0.317589,0.689834,0.238285,0.003694,
NOMINAL,POST_YAW,0.54,100.0000,0.000000,1.402504,-0.834007,0.622504,0.215027,-0.512724,
NOMINAL,POST_HAUNCH_CANT,0.7,100.0000,-0.000000,1.277929,-0.833865,0.497929,0.171996,-0.512581,
NOMINAL,STRUCTURAL_READY,0.84,100.0000,0.000000,1.277929,-0.833771,0.497929,0.171996,-0.512487,0.000000
NOMINAL,DRIVE,1,100.0000,0.000000,1.277929,-1.189365,0.497929,0.171996,-0.868081,-0.355594
ALL_HIGH,SPREAD,0,182.0000,-0.000000,1.483269,-0.291575,0.703269,0.242925,0.000000,
ALL_HIGH,MID_FOLD,0.15,182.0000,-0.000000,1.454476,-0.287515,0.674476,0.232980,0.004060,
ALL_HIGH,POST_YAW,0.54,182.0000,-0.000000,1.386016,-0.801756,0.606016,0.209332,-0.510181,
ALL_HIGH,POST_HAUNCH_CANT,0.7,182.0000,-0.000000,1.266213,-0.801597,0.486213,0.167949,-0.510021,
ALL_HIGH,STRUCTURAL_READY,0.84,182.0000,0.000000,1.266213,-0.801514,0.486213,0.167949,-0.509939,0.000000
ALL_HIGH,DRIVE,1,182.0000,0.000000,1.266213,-1.248630,0.486213,0.167949,-0.957054,-0.447115
HEAVY_AFT_LIGHT_FORWARD,SPREAD,0,124.0000,-0.000000,1.496290,-1.528340,0.716290,0.247423,0.000000,
HEAVY_AFT_LIGHT_FORWARD,MID_FOLD,0.15,124.0000,-0.000000,1.480950,-1.526850,0.700950,0.242124,0.001490,
HEAVY_AFT_LIGHT_FORWARD,POST_YAW,0.54,124.0000,0.000000,1.413227,-2.125885,0.633227,0.218731,-0.597545,
HEAVY_AFT_LIGHT_FORWARD,POST_HAUNCH_CANT,0.7,124.0000,-0.000000,1.237556,-2.125845,0.457556,0.158051,-0.597505,
HEAVY_AFT_LIGHT_FORWARD,STRUCTURAL_READY,0.84,124.0000,0.000000,1.237556,-2.125724,0.457556,0.158051,-0.597384,0.000000
HEAVY_AFT_LIGHT_FORWARD,DRIVE,1,124.0000,0.000000,1.237556,-2.781974,0.457556,0.158051,-1.253634,-0.656250
HEAVY_FORWARD_LIGHT_AFT,SPREAD,0,101.0000,0.000000,1.510594,1.184241,0.730594,0.252364,0.000000,
HEAVY_FORWARD_LIGHT_AFT,MID_FOLD,0.15,101.0000,0.000000,1.464293,1.191556,0.684293,0.236371,0.007316,
HEAVY_FORWARD_LIGHT_AFT,POST_YAW,0.54,101.0000,0.000000,1.390742,0.744701,0.610742,0.210964,-0.439540,
HEAVY_FORWARD_LIGHT_AFT,POST_HAUNCH_CANT,0.7,101.0000,-0.000000,1.328863,0.745009,0.548863,0.189590,-0.439231,
HEAVY_FORWARD_LIGHT_AFT,STRUCTURAL_READY,0.84,101.0000,0.000000,1.328863,0.745065,0.548863,0.189590,-0.439176,0.000000
HEAVY_FORWARD_LIGHT_AFT,DRIVE,1,101.0000,0.000000,1.328863,0.644910,0.548863,0.189590,-0.539330,-0.100155
HEAVY_DRIVE_MOVING,SPREAD,0,118.0000,0.000000,1.387288,-0.768037,0.607288,0.209771,0.000000,
HEAVY_DRIVE_MOVING,MID_FOLD,0.15,118.0000,0.000000,1.364605,-0.764906,0.584605,0.201936,0.003131,
HEAVY_DRIVE_MOVING,POST_YAW,0.54,118.0000,0.000000,1.307546,-1.202549,0.527546,0.182227,-0.434512,
HEAVY_DRIVE_MOVING,POST_HAUNCH_CANT,0.7,118.0000,-0.000000,1.201974,-1.202428,0.421974,0.145760,-0.434391,
HEAVY_DRIVE_MOVING,STRUCTURAL_READY,0.84,118.0000,0.000000,1.201974,-1.202348,0.421974,0.145760,-0.434311,0.000000
HEAVY_DRIVE_MOVING,DRIVE,1,118.0000,0.000000,1.201974,-1.892682,0.421974,0.145760,-1.124645,-0.690334
LIGHT_DRIVE_MOVING,SPREAD,0,90.0000,0.000000,1.576222,0.004130,0.796222,0.275034,0.000000,
LIGHT_DRIVE_MOVING,MID_FOLD,0.15,90.0000,0.000000,1.546483,0.008234,0.766483,0.264761,0.004105,
LIGHT_DRIVE_MOVING,POST_YAW,0.54,90.0000,0.000000,1.471671,-0.565564,0.691671,0.238919,-0.569693,
LIGHT_DRIVE_MOVING,POST_HAUNCH_CANT,0.7,90.0000,-0.000000,1.333255,-0.565405,0.553255,0.191107,-0.569535,
LIGHT_DRIVE_MOVING,STRUCTURAL_READY,0.84,90.0000,0.000000,1.333255,-0.565301,0.553255,0.191107,-0.569430,0.000000
LIGHT_DRIVE_MOVING,DRIVE,1,90.0000,0.000000,1.333255,-0.677072,0.553255,0.191107,-0.681201,-0.111771
HEAVY_COCKPIT,SPREAD,0,112.0000,0.000000,1.470179,0.093497,0.690179,0.238404,0.000000,
HEAVY_COCKPIT,MID_FOLD,0.15,112.0000,0.000000,1.446281,0.096795,0.666281,0.230149,0.003299,
HEAVY_COCKPIT,POST_YAW,0.54,112.0000,0.000000,1.386165,-0.364292,0.606165,0.209383,-0.457789,
HEAVY_COCKPIT,POST_HAUNCH_CANT,0.7,112.0000,-0.000000,1.274937,-0.364165,0.494937,0.170963,-0.457662,
HEAVY_COCKPIT,STRUCTURAL_READY,0.84,112.0000,0.000000,1.274937,-0.364081,0.494937,0.170963,-0.457578,0.000000
